Group,Taxa
Afrotheria,Amblysomus_hottentotus_longiceps
Afrotheria,Chrysochloris_asiatica
Afrotheria,Echinops_telfairi
Afrotheria,Elephantulus_edwardii
Afrotheria,Hydrodamalis_gigas
Afrotheria,Loxodonta_africana
Afrotheria,Microgale_talazaci
Afrotheria,Orycteropus_afer
Afrotheria,Procavia_capensis
Afrotheria,Trichechus_manatus_latirostris
Boreoeutheria,Ceratotherium_simum
Boreoeutheria,Condylura_cristata
Boreoeutheria,Galeopterus_variegatus
Boreoeutheria,Hippopotamus_amphibius
Boreoeutheria,Manis_javanica
Boreoeutheria,Odobenus_rosmarus_divergens
Boreoeutheria,Pan_troglodytes
Boreoeutheria,Pteropus_vampyrus
Boreoeutheria,Rattus_norvegicus
Boreoeutheria,Tupaia_tana
Metatheria,Didelphis_virginiana
Metatheria,Gymnobelideus_leadbeateri
Metatheria,Phalanger_gymnotis
Metatheria,Phascolarctos_cinereus
Metatheria,Potorous_gilbertii
Metatheria,Pseudochirops_corinnae
Metatheria,Sarcophilus_harrisii
Metatheria,Thylacinus_cynocephalus
Metatheria,Vombatus_ursinus
Metatheria,Wallabia_bicolor
Xenarthra,Chaetophractus_vellerosus
Xenarthra,Choloepus_didactylus
Xenarthra,Dasypus_novemcinctus
Xenarthra,Mylodon_darwinii
Xenarthra,Myrmecophaga_tridactyla
Xenarthra,Tamandua_tetradactyla
Xenarthra,Tolypeutes_matacus
